amount,transaction_type,location,device_id,transaction_hour,previous_transactions,is_new_device,is_international,fraud
49928.0,DEPOSIT,Nashik,DEVICE008,4,12,1,0,0
43175.9,WITHDRAWAL,Hyderabad,DEVICE007,6,14,0,0,0
13360.64,PAYMENT,Dhule,DEVICE007,22,5,1,0,0
22277.56,WITHDRAWAL,Kolkata,DEVICE007,10,24,0,0,0
14443.33,PAYMENT,Nashik,DEVICE006,23,1,0,0,0
41677.01,TRANSFER,Ahmedabad,DEVICE005,16,16,0,0,1
19898.23,WITHDRAWAL,Dhule,DEVICE005,7,30,0,0,0
34277.95,WITHDRAWAL,Chennai,DEVICE003,18,1,0,0,0
40053.37,PAYMENT,Delhi,DEVICE004,1,9,0,0,0
25922.82,TRANSFER,Delhi,DEVICE005,0,21,0,0,0
13346.23,PAYMENT,Chennai,DEVICE006,19,27,1,0,0
27303.03,TRANSFER,Delhi,DEVICE003,8,28,0,1,0
1230.17,DEPOSIT,Pune,DEVICE005,5,22,0,0,0
14343.94,DEPOSIT,Bangalore,DEVICE002,23,11,0,0,0
44521.0,TRANSFER,Delhi,DEVICE008,18,18,0,0,0
22382.12,DEPOSIT,Pune,DEVICE008,6,13,0,1,0
26374.29,TRANSFER,Nashik,DEVICE001,20,7,0,1,0
13737.16,DEPOSIT,Dhule,DEVICE002,11,3,0,1,1
25929.06,DEPOSIT,Kolkata,DEVICE005,11,15,0,0,1
49075.01,WITHDRAWAL,Pune,DEVICE005,13,1,1,0,1
27908.55,DEPOSIT,Dhule,DEVICE003,15,17,0,0,0
48272.75,TRANSFER,Delhi,DEVICE004,12,2,0,0,0
11073.52,PAYMENT,Ahmedabad,DEVICE001,10,26,1,0,0
41871.05,TRANSFER,Mumbai,DEVICE007,1,10,0,0,1
6963.64,TRANSFER,Mumbai,DEVICE005,17,2,1,0,0
12271.58,TRANSFER,Pune,DEVICE005,7,11,0,0,0
21905.58,DEPOSIT,Chennai,DEVICE003,14,7,0,0,0
1632.5,DEPOSIT,Nashik,DEVICE004,11,13,0,0,0
48487.83,TRANSFER,Nashik,DEVICE001,13,12,0,0,1
11882.18,WITHDRAWAL,Dhule,DEVICE005,3,0,0,0,1
581.13,TRANSFER,Nashik,DEVICE005,15,14,1,0,0
27951.17,DEPOSIT,Kolkata,DEVICE003,8,22,0,0,0
36351.83,TRANSFER,Nashik,DEVICE001,0,13,0,0,0
42871.19,TRANSFER,Ahmedabad,DEVICE005,17,10,0,1,0
47775.55,DEPOSIT,Mumbai,DEVICE005,9,27,1,0,1
32227.52,TRANSFER,Bangalore,DEVICE001,17,16,0,1,1
13390.8,TRANSFER,Delhi,DEVICE008,6,16,0,0,0
17857.93,DEPOSIT,Dhule,DEVICE001,3,4,0,1,1
12926.96,TRANSFER,Hyderabad,DEVICE005,20,13,0,1,0
22787.04,TRANSFER,Hyderabad,DEVICE008,5,10,1,0,0
26442.15,DEPOSIT,Bangalore,DEVICE001,14,20,1,0,0
10356.87,PAYMENT,Nashik,DEVICE002,14,10,0,0,0
9091.68,DEPOSIT,Kolkata,DEVICE006,19,29,0,1,0
26866.58,DEPOSIT,Ahmedabad,DEVICE008,21,9,0,1,0
44917.36,DEPOSIT,Nashik,DEVICE003,8,19,0,1,0
24098.35,TRANSFER,Hyderabad,DEVICE002,13,25,1,1,1
19724.88,DEPOSIT,Pune,DEVICE007,17,2,0,0,0
24139.23,PAYMENT,Hyderabad,DEVICE007,14,16,0,0,0
42444.52,WITHDRAWAL,Delhi,DEVICE002,15,27,0,0,0
28395.59,PAYMENT,Kolkata,DEVICE003,6,11,1,0,0
27308.64,PAYMENT,Dhule,DEVICE005,16,23,0,1,0
10704.73,DEPOSIT,Kolkata,DEVICE006,13,6,0,1,0
26469.24,WITHDRAWAL,Ahmedabad,DEVICE006,10,28,1,1,0
39639.72,PAYMENT,Nashik,DEVICE007,13,2,0,0,0
3371.94,PAYMENT,Nashik,DEVICE004,9,10,0,0,0
35119.92,TRANSFER,Nashik,DEVICE006,12,17,0,0,0
26950.19,DEPOSIT,Ahmedabad,DEVICE003,8,3,1,0,0
39038.06,WITHDRAWAL,Nashik,DEVICE008,15,3,1,1,0
24279.67,PAYMENT,Nashik,DEVICE007,4,15,1,0,1
22315.21,TRANSFER,Nashik,DEVICE007,11,5,1,0,0
47903.02,DEPOSIT,Delhi,DEVICE003,14,28,0,0,1
44913.39,PAYMENT,Nashik,DEVICE004,13,4,0,0,0
45161.49,PAYMENT,Nashik,DEVICE005,10,15,0,0,0
36400.7,DEPOSIT,Mumbai,DEVICE006,0,21,0,0,0
34904.37,TRANSFER,Dhule,DEVICE007,22,24,0,0,0
35454.7,WITHDRAWAL,Dhule,DEVICE001,4,6,0,0,0
24831.5,TRANSFER,Pune,DEVICE002,6,6,0,0,0
23204.78,WITHDRAWAL,Dhule,DEVICE001,8,29,0,0,0
23786.26,PAYMENT,Pune,DEVICE001,13,15,0,1,0
18155.5,WITHDRAWAL,Mumbai,DEVICE006,12,5,0,0,0
38655.88,DEPOSIT,Nashik,DEVICE005,23,20,0,0,0
47053.64,TRANSFER,Delhi,DEVICE002,12,17,0,0,0
29426.26,WITHDRAWAL,Chennai,DEVICE008,13,16,0,0,0
38022.44,WITHDRAWAL,Chennai,DEVICE001,22,18,0,0,0
32951.59,WITHDRAWAL,Mumbai,DEVICE005,14,26,1,1,0
49784.27,DEPOSIT,Pune,DEVICE006,11,25,0,0,0
24696.02,DEPOSIT,Ahmedabad,DEVICE003,15,23,0,0,0
23530.12,TRANSFER,Bangalore,DEVICE005,7,17,0,0,0
30245.09,PAYMENT,Ahmedabad,DEVICE005,23,6,0,0,0
47689.69,TRANSFER,Dhule,DEVICE007,19,22,1,0,1
37206.28,PAYMENT,Dhule,DEVICE006,6,10,0,0,0
14762.24,TRANSFER,Bangalore,DEVICE005,9,14,0,0,0
12707.56,PAYMENT,Kolkata,DEVICE002,15,4,0,0,0
25325.18,PAYMENT,Ahmedabad,DEVICE001,11,12,0,0,0
45223.54,WITHDRAWAL,Ahmedabad,DEVICE008,12,11,0,0,0
19269.66,WITHDRAWAL,Pune,DEVICE006,19,25,0,0,0
37893.13,WITHDRAWAL,Delhi,DEVICE004,19,13,0,1,0
7397.39,PAYMENT,Bangalore,DEVICE003,19,0,1,0,0
47931.25,TRANSFER,Dhule,DEVICE008,23,19,0,1,1
21528.81,PAYMENT,Hyderabad,DEVICE007,2,5,0,0,0
37133.38,TRANSFER,Mumbai,DEVICE001,23,13,1,0,0
13823.31,WITHDRAWAL,Dhule,DEVICE004,17,21,0,0,0
31597.02,WITHDRAWAL,Delhi,DEVICE003,3,9,0,0,0
43788.35,WITHDRAWAL,Kolkata,DEVICE005,7,9,0,0,0
17861.75,TRANSFER,Delhi,DEVICE005,18,18,0,1,0
36310.83,PAYMENT,Pune,DEVICE001,7,25,0,0,0
32127.7,PAYMENT,Nashik,DEVICE004,3,1,1,0,0
9543.08,DEPOSIT,Bangalore,DEVICE005,2,29,1,0,0
7403.91,DEPOSIT,Ahmedabad,DEVICE005,1,18,1,0,0
27012.39,TRANSFER,Mumbai,DEVICE006,4,17,0,0,0
34222.52,DEPOSIT,Ahmedabad,DEVICE003,7,11,0,1,0
38686.83,DEPOSIT,Chennai,DEVICE007,23,26,0,0,0
34242.75,TRANSFER,Kolkata,DEVICE002,19,0,1,0,0
32925.91,DEPOSIT,Chennai,DEVICE007,14,10,0,0,0
4474.59,DEPOSIT,Bangalore,DEVICE002,22,27,0,0,0
32540.24,PAYMENT,Chennai,DEVICE007,23,14,0,0,0
7047.23,DEPOSIT,Nashik,DEVICE005,6,5,1,0,0
6034.69,WITHDRAWAL,Ahmedabad,DEVICE006,8,7,0,0,1
40599.37,TRANSFER,Pune,DEVICE005,8,25,0,0,1
1786.18,DEPOSIT,Kolkata,DEVICE001,17,2,0,0,0
32831.89,WITHDRAWAL,Mumbai,DEVICE004,2,27,1,0,1
36265.88,DEPOSIT,Nashik,DEVICE002,5,16,1,1,1
37198.0,WITHDRAWAL,Chennai,DEVICE002,13,26,0,0,0
25365.01,DEPOSIT,Hyderabad,DEVICE004,22,20,1,0,0
19291.81,WITHDRAWAL,Mumbai,DEVICE008,4,6,0,0,0
19383.6,PAYMENT,Dhule,DEVICE002,12,4,0,0,0
32871.05,TRANSFER,Mumbai,DEVICE002,19,15,0,0,0
49106.84,WITHDRAWAL,Mumbai,DEVICE001,12,7,0,0,0
21751.94,WITHDRAWAL,Nashik,DEVICE006,0,29,0,0,1
11482.71,TRANSFER,Dhule,DEVICE005,12,25,1,0,0
19439.68,PAYMENT,Nashik,DEVICE003,1,5,0,0,0
5446.81,DEPOSIT,Nashik,DEVICE008,4,23,0,0,0
48679.08,DEPOSIT,Kolkata,DEVICE006,4,5,0,0,0
24102.31,DEPOSIT,Hyderabad,DEVICE005,6,27,0,0,0
20052.48,WITHDRAWAL,Dhule,DEVICE008,21,29,0,0,0
420.75,TRANSFER,Nashik,DEVICE008,15,4,0,0,0
35139.03,PAYMENT,Hyderabad,DEVICE006,18,7,0,1,0
10504.87,WITHDRAWAL,Hyderabad,DEVICE003,17,8,0,1,0
37539.66,TRANSFER,Kolkata,DEVICE004,9,8,0,0,1
41086.93,TRANSFER,Delhi,DEVICE007,4,3,0,0,0
48672.83,DEPOSIT,Mumbai,DEVICE001,8,9,0,1,1
15340.61,TRANSFER,Mumbai,DEVICE002,23,25,0,0,0
22336.95,DEPOSIT,Bangalore,DEVICE006,4,3,1,0,0
27345.59,WITHDRAWAL,Pune,DEVICE002,5,1,1,0,1
22837.23,WITHDRAWAL,Bangalore,DEVICE002,15,26,0,1,0
1499.04,DEPOSIT,Bangalore,DEVICE007,15,2,1,0,0
35498.52,TRANSFER,Mumbai,DEVICE003,19,0,1,0,0
5099.82,WITHDRAWAL,Hyderabad,DEVICE002,11,5,0,0,0
13223.15,TRANSFER,Ahmedabad,DEVICE008,0,1,0,0,0
40361.19,WITHDRAWAL,Nashik,DEVICE007,8,16,1,0,1
47726.67,TRANSFER,Hyderabad,DEVICE003,13,12,0,0,0
16045.34,TRANSFER,Nashik,DEVICE008,20,3,0,0,0
32523.41,DEPOSIT,Ahmedabad,DEVICE005,1,11,0,1,1
14346.14,PAYMENT,Hyderabad,DEVICE006,17,23,0,1,1
15640.79,PAYMENT,Dhule,DEVICE008,23,7,1,0,1
49538.97,TRANSFER,Kolkata,DEVICE008,13,28,0,0,0
42651.33,DEPOSIT,Dhule,DEVICE007,7,6,0,0,0
34651.71,PAYMENT,Kolkata,DEVICE002,18,3,0,0,0
7445.26,PAYMENT,Chennai,DEVICE002,5,9,1,1,0
44330.81,TRANSFER,Hyderabad,DEVICE002,1,26,0,0,0
28261.97,TRANSFER,Pune,DEVICE008,0,24,0,1,1
25499.32,WITHDRAWAL,Nashik,DEVICE001,1,18,1,1,1
26109.86,DEPOSIT,Dhule,DEVICE005,13,23,0,0,0
41178.5,TRANSFER,Mumbai,DEVICE005,11,7,0,1,0
13401.98,PAYMENT,Nashik,DEVICE004,5,14,1,0,0
38821.47,WITHDRAWAL,Ahmedabad,DEVICE001,15,17,0,0,0
12701.78,PAYMENT,Bangalore,DEVICE008,14,23,0,0,0
33952.71,TRANSFER,Nashik,DEVICE002,4,3,1,1,0
49684.06,DEPOSIT,Ahmedabad,DEVICE003,19,0,0,0,1
27135.39,WITHDRAWAL,Bangalore,DEVICE008,5,30,0,1,1
5839.33,TRANSFER,Dhule,DEVICE008,14,25,1,0,0
41430.62,PAYMENT,Pune,DEVICE003,16,19,1,0,1
30544.67,DEPOSIT,Kolkata,DEVICE008,19,19,0,0,0
22394.09,TRANSFER,Kolkata,DEVICE001,23,8,0,0,0
23961.07,WITHDRAWAL,Hyderabad,DEVICE002,13,11,0,1,1
7947.21,PAYMENT,Hyderabad,DEVICE002,18,15,0,0,0
27063.38,DEPOSIT,Chennai,DEVICE005,0,29,0,0,0
19828.17,DEPOSIT,Delhi,DEVICE004,3,22,0,0,0
8509.56,PAYMENT,Pune,DEVICE008,5,3,0,0,0
47646.5,TRANSFER,Chennai,DEVICE004,8,3,0,0,0
8082.03,TRANSFER,Pune,DEVICE007,18,28,1,0,1
43407.01,WITHDRAWAL,Delhi,DEVICE001,11,16,0,0,0
8177.15,TRANSFER,Chennai,DEVICE005,16,26,0,0,0
49949.64,WITHDRAWAL,Ahmedabad,DEVICE007,8,17,0,0,0
47426.08,DEPOSIT,Hyderabad,DEVICE006,12,12,0,0,0
35284.64,WITHDRAWAL,Dhule,DEVICE001,8,8,0,0,1
17540.16,WITHDRAWAL,Kolkata,DEVICE006,8,24,0,1,1
24970.8,WITHDRAWAL,Chennai,DEVICE005,21,29,0,0,0
34490.61,TRANSFER,Kolkata,DEVICE002,20,20,0,0,0
30615.45,PAYMENT,Mumbai,DEVICE006,12,12,0,1,0
19964.62,WITHDRAWAL,Mumbai,DEVICE001,8,26,0,1,1
6118.85,WITHDRAWAL,Ahmedabad,DEVICE005,15,26,1,1,0
26895.37,PAYMENT,Hyderabad,DEVICE006,21,13,1,1,0
22781.17,DEPOSIT,Bangalore,DEVICE005,0,7,0,0,0
31456.5,WITHDRAWAL,Hyderabad,DEVICE006,6,3,1,0,1
27086.59,DEPOSIT,Delhi,DEVICE002,12,20,0,0,0
37990.18,PAYMENT,Hyderabad,DEVICE002,2,20,0,0,1
32373.93,TRANSFER,Ahmedabad,DEVICE002,12,0,0,0,0
11177.87,DEPOSIT,Chennai,DEVICE003,7,13,0,0,0
23646.36,PAYMENT,Kolkata,DEVICE003,11,20,0,0,0
49672.7,PAYMENT,Delhi,DEVICE008,14,7,0,0,1
26605.8,TRANSFER,Delhi,DEVICE004,16,16,1,1,1
29024.73,WITHDRAWAL,Kolkata,DEVICE006,0,12,1,0,1
41838.03,TRANSFER,Pune,DEVICE001,11,10,0,1,1
33124.59,PAYMENT,Chennai,DEVICE007,3,13,0,1,1
5481.91,WITHDRAWAL,Ahmedabad,DEVICE007,9,30,0,0,0
35785.26,PAYMENT,Bangalore,DEVICE003,23,23,0,0,0
46733.18,DEPOSIT,Ahmedabad,DEVICE001,8,7,0,0,0
521.07,DEPOSIT,Dhule,DEVICE008,11,19,0,0,0
43282.52,WITHDRAWAL,Nashik,DEVICE008,19,7,1,0,1
8119.01,PAYMENT,Mumbai,DEVICE001,7,20,1,0,0
34976.36,WITHDRAWAL,Kolkata,DEVICE001,7,19,0,0,1
26849.72,PAYMENT,Delhi,DEVICE008,14,9,0,0,0
13390.67,PAYMENT,Mumbai,DEVICE006,2,10,0,0,0
22134.58,WITHDRAWAL,Delhi,DEVICE004,12,30,1,0,0
11155.8,PAYMENT,Chennai,DEVICE006,5,8,0,0,0
11486.11,WITHDRAWAL,Dhule,DEVICE005,3,5,0,0,0
4932.11,DEPOSIT,Dhule,DEVICE003,7,30,0,1,0
44680.67,PAYMENT,Kolkata,DEVICE003,6,17,0,0,0
24134.28,PAYMENT,Ahmedabad,DEVICE003,13,17,0,1,1
31665.69,DEPOSIT,Chennai,DEVICE001,2,7,1,0,0
26558.89,DEPOSIT,Kolkata,DEVICE004,9,13,0,0,0
41469.9,PAYMENT,Dhule,DEVICE002,6,0,0,0,0
3035.64,DEPOSIT,Dhule,DEVICE008,1,27,1,0,0
6908.0,DEPOSIT,Nashik,DEVICE002,6,25,1,0,0
10434.63,PAYMENT,Hyderabad,DEVICE004,4,16,0,0,0
9239.94,TRANSFER,Bangalore,DEVICE006,9,20,0,0,0
37779.02,PAYMENT,Mumbai,DEVICE002,14,25,0,0,0
9347.02,PAYMENT,Mumbai,DEVICE008,21,12,0,1,0
14624.48,DEPOSIT,Bangalore,DEVICE002,13,9,1,0,0
45142.42,DEPOSIT,Hyderabad,DEVICE006,23,4,1,0,0
7189.59,TRANSFER,Kolkata,DEVICE004,15,5,0,0,1
3901.15,DEPOSIT,Pune,DEVICE007,19,3,0,1,0
16788.06,PAYMENT,Pune,DEVICE004,11,9,1,0,0
20035.06,TRANSFER,Delhi,DEVICE006,1,17,0,0,0
7879.43,PAYMENT,Dhule,DEVICE007,1,13,0,0,0
2692.26,PAYMENT,Hyderabad,DEVICE004,11,27,1,0,1
43708.44,PAYMENT,Delhi,DEVICE008,9,2,1,0,1
38032.8,PAYMENT,Hyderabad,DEVICE007,4,12,0,0,0
20669.07,WITHDRAWAL,Bangalore,DEVICE001,7,15,0,0,0
42442.42,PAYMENT,Dhule,DEVICE005,9,16,1,0,1
38837.04,PAYMENT,Ahmedabad,DEVICE001,9,6,0,0,0
10902.34,DEPOSIT,Delhi,DEVICE004,9,11,0,0,0
33571.4,WITHDRAWAL,Ahmedabad,DEVICE006,1,29,1,1,1
48465.8,PAYMENT,Dhule,DEVICE004,4,14,0,1,0
29093.43,TRANSFER,Bangalore,DEVICE008,3,0,0,1,1
48569.84,PAYMENT,Nashik,DEVICE005,23,11,0,0,0
46782.04,TRANSFER,Ahmedabad,DEVICE003,15,19,0,0,1
3543.98,DEPOSIT,Ahmedabad,DEVICE005,3,6,0,0,0
6242.19,PAYMENT,Chennai,DEVICE002,20,0,1,0,1
24510.62,PAYMENT,Dhule,DEVICE005,7,8,0,0,0
16446.39,TRANSFER,Kolkata,DEVICE001,19,21,0,0,0
7576.42,TRANSFER,Ahmedabad,DEVICE003,17,15,0,0,0
43392.41,TRANSFER,Delhi,DEVICE006,17,30,0,0,0
40075.63,PAYMENT,Kolkata,DEVICE008,6,19,0,1,0
39904.36,WITHDRAWAL,Chennai,DEVICE008,1,1,0,0,0
19300.29,PAYMENT,Ahmedabad,DEVICE006,18,17,0,0,0
42656.39,WITHDRAWAL,Delhi,DEVICE001,19,15,0,1,1
35532.75,TRANSFER,Chennai,DEVICE004,3,1,0,0,1
